Date,Total,Topaz_Central Utah,Poston_Colorado River,Gila River,Granada,Heart Mountain,Jerome,Manzanar,Minidoka,Rohwer,Tule Lake
6/1/42,17393,0,7281,0,0,0,0,9666,0,0,446
7/1/42,27633,0,8755,0,0,0,0,9840,0,0,9038
8/1/42,40316,0,13262,2106,0,0,0,9928,0,0,15020
9/1/42,63031,0,17818,9150,212,5758,0,10072,4840,0,15181
10/1/42,90499,5806,17847,11555,7480,10813,0,10256,9200,2265,15277
11/1/42,109192,8320,17877,13368,7654,11107,7039,10181,9846,8407,15393
12/1/42,110160,8294,17965,13368,7651,11105,7925,10177,9849,8515,15311
1/1/43,110240,8232,8039,13420,7656,11062,7932,10121,9861,8548,15369
2/1/43,110353,8214,18025,13411,7622,11006,8354,10079,9814,8538,15274
3/1/43,110181,8152,17984,13374,7619,10959,8587,9796,9924,8528,15219
4/1/43,109648,8332,17941,13372,7476,10886,8526,9707,9772,8478,15124
5/1/43,107693,8189,17741,13224,7222,10724,8350,9496,9401,8286,15015
6/1/43,105300,8018,17406,12954,7016,10520,8182,9272,8989,8061,14828
7/1/43,103282,7862,16995,12683,6931,10307,7972,9197,8752,7895,14630
8/1/43,101937,7809,16671,12542,3876,10178,7808,9163,8556,7781,14484
9/1/43,99927,7682,16279,12251,6764,10073,7649,9105,8325,7552,14185
10/1/43,98529,7608,16013,12056,7494,10509,6899,9045,9530,7123,12183
11/1/43,97539,7554,14470,10017,7368,10426,6787,8701,9419,6731,16012
12/1/43,96963,7585,14372,9898,7393,10406,6726,8621,9492,6676,15671
1/1/44,96576,7559,14295,9869,7355,10388,6700,8643,9461,6676,15630
2/1/44,95576,7438,14109,9800,7176,10242,6632,8580,9374,6600,15625
3/1/44,94462,7350,13876,9655,6983,10112,6537,6655,9288,6514,17492
4/1/44,92923,7227,13453,9419,6786,9962,6529,6565,9027,6375,17580
5/1/44,90960,7084,13241,9199,6685,9760,6467,6456,8856,6248,16964
6/1/44,89119,6879,13021,8788,6424,9420,5601,6341,8514,5479,18652
7/1/44,87383,6727,12725,10531,6816,9712,4,6232,8335,7623,18678
8/1/44,85816,6621,12517,10291,6664,9433,4,6138,8160,7279,18709
9/1/44,84046,6426,12152,9951,6490,9241,4,6057,8099,6900,18726
10/1/44,82834,6280,12059,9651,6403,9035,3,5939,7972,6764,18728
11/1/44,82046,6125,11881,9550,6371,8886,3,5836,7976,6700,18718
12/1/44,81288,6026,11751,9534,6311,8669,3,5668,7867,6689,18770
1/1/45,80878,5984,11710,9550,6255,8537,3,5588,7770,6747,18734
2/1/45,79805,5883,11480,9432,6177,8445,2,5522,7574,6697,18593
3/1/45,77774,5742,11251,9207,6035,8213,2,5435,7373,6563,17953
4/1/45,75559,5589,10828,8988,5805,7997,0,5298,6851,6339,17864
5/1/45,72806,5413,10421,8716,5411,7556,0,5030,6382,5991,17886
6/1/45,69126,5165,9979,8319,4980,7084,0,4658,5615,5447,17879
7/1/45,63857,4645,9386,7684,4256,6325,0,4248,4937,4910,17466
8/1/45,58951,4176,8750,6765,3758,5714,0,3994,4330,4098,17366
9/1/45,50462,3339,6828,5141,3155,4611,0,3552,3218,3332,17286
10/1/45,35368,1899,2730,2760,1379,3312,0,2891,1482,2175,16740
11/1/45,21398,0,1088,754,0,1156,0,1146,0,1804,15450
12/1/45,12628,0,0,0,0,0,0,0,0,0,12628
1/1/46,7303,0,0,0,0,0,0,0,0,0,7303
2/1/46,5046,0,0,0,0,0,0,0,0,0,5046
3/1/46,2808,0,0,0,0,0,0,0,0,0,2808
