City,State,People
Glendale,AZ,487
Alameda,CA,211
Berkely,CA,844
Burbank,CA,228
Dinuba,CA,201
Florin,CA,294
Fowler,CA,329
Fresno,CA,1532
Gardena,CA,368
Guadalupe,CA,286
Lodi,CA,779
Lomita,CA,218
Long Beach,CA,1014
Loomis,CA,211
Los Angeles,CA,10129
Monterey,CA,313
Mountain View,CA,291
Newcastle,CA,226
Oakland,CA,777
Palo Alto,CA,245
Parlier,CA,391
Pasadena,CA,589
Penryn,CA,424
Reedley,CA,443
Richmond,CA,261
Sacramento,CA,2769
San Diego,CA,501
San Francisco,CA,2845
Sanger,CA,352
San Jose,CA,1712
San Mateo,CA,334
Santa Ana,CA,247
Santa Barbara,CA,260
Selma,CA,319
Stockton,CA,1574
Venice,CA,223
Walnut Grove,CA,592
Watsonville,CA,378
Boulder,CO,239
Denver,CO,3124
Grand Junction,CO,202
Boise,ID,289
Caldwell,ID,457
Payette,ID,373
Twin Falls,ID,338
Weiser,ID,307
Chicago,IL,11309
Des Moines,IA,378
Ann Arbor,MI,534
Detroit,MI,1649
Minneapolis,MN,1354
St. Paul,MN,282
Kansas City,MO,346
St. Louis,MO,469
Omaha,NE,221
Bridgeton,NJ,1970
New York,NY,2036
Cincinnati,OH,616
Cleveland,OH,3089
Nyssa,OR,316
Ontario,OR,566
Portland,OR,859
Vale,OR,206
Philadelphia,PA,740
Brigham City,UT,351
Clearfield,UT,278
Ogden,UT,900
Salt Lake City,UT,2002
Tooele,UT,241
Seattle,WA,2760
Spokane,WA,1294
Tacoma,WA,229
Milwaukee,WI,1040
